100 Peace & Conflict Studies	10 Peace & Conflict Studies
14 Art Practice	8 Art Practice
100A Persian	1A Persian
100A Persian	1B Persian
141 Art Practice	16 Art Practice
141 Art Practice	8 Art Practice
100B Persian	1A Persian
100B Persian	1B Persian
101A Persian	100A Persian
101A Persian	100B Persian
101B Persian	100A Persian
101B Persian	100B Persian
102A Persian	101A Persian
102A Persian	101B Persian
103A Persian	101A Persian
103A Persian	101B Persian
103B Persian	101A Persian
103B Persian	101B Persian
105 Persian	101A Persian
105 Persian	101B Persian
11B Persian	11A Persian
1B Persian	1A Persian
100 Philosophy	25A Philosophy
142 Art Practice	16 Art Practice
108 Philosophy	104 Philosophy
140A Philosophy	12A Philosophy
143 Philosophy	12A Philosophy
163 Philosophy	25A Philosophy
111B Physics	137A Physics
130 Physics	137A Physics
15 Art Practice	8 Art Practice
138 Physics	137A Physics
141B Physics	137A Physics
221A Physics	137A Physics
171 Art Practice	8 Art Practice
7B Physics	7A Physics
7C Physics	7A Physics
7C Physics	7B Physics
8B Physics	8A Physics
172 Art Practice	8 Art Practice
C112L Plant & Microbial Biology	C112 Plant & Microbial Biology
C116 Plant & Microbial Biology	C112 Plant & Microbial Biology
103 Political Science	1 Political Science
124A Political Science	5 Political Science
101 Political Economy	100 Political Economy
160 Political Economy	101 Political Economy
121 Asian American Studies	20A Asian American Studies
